Quarry,Column1,"IDOT
Producer
Number","Address Where
Stockpile is Located","City of
Stockpile","Ledge Footage
Location",%Mg,CCE,% Pass #8,"% Pass
#30","% Pass
#60","1 Year
Correction
Factor","4 Year
Correction
Factor",> #8,#8 >lime< #30,#30> lime < #60,<#60,Total Finess Eff. Value,RNV,One Year App Rate,Rec (t/a) based_soil_test,Recommend Amount,Price (t/a),Cost
Rogers Ready Mix ? Byron,,51412?32,8503 N. Barker Rd,Byron,006,22.25,96.01,81.5,35.6,22.9,1.23,1.19,0.185,0.459,0.127,0.229,39.355,37.78,1.18,1,1.18,22,25.96
"Savanna Quarry Inc ?
Lawrence (Ritchie)",,50182?92,9859 Scenic Bluff Rd.,Savanna,"Ledge 007,0.0?
31.1m",12.54,102.5,76,45.5,32.4,0.98,1.05,0.24,0.305,0.131,0.324,46.25,47.41,1,1,1,22,22
Shawnee Stone @ Jonesboro,,51812?03,"1275 Jonesboro
Quarry Road",Jonesboro,Multiple,1.33,96.54,97,79.9,56.5,0.67,0.79,0.03,0.171,0.234,0.565,71.77,69.29,0.65,1,0.65,22,14.3
"Simpson Materials /Simpson
Barnhart Quarry",,52302?51,"850 Sulpher Springs
Rd",Imperial,Ledge 1?5 84',0.74,95.1,99,74.1,45,0.75,0.83,0.01,0.249,0.291,0.45,64.58,61.42,0.72,1,0.72,22,15.84
Southern Illinois Stone Co,,50872?03,4800 State Route 37 N,Goreville,1.5?13.1,1.9,86.38,82.7,45.1,25.7,1.23,1.21,0.173,0.376,0.194,0.257,43.785,37.82,1.06,1,1.06,22,23.32
Steve Benesh and Sons,,51412?72,3923 N River Rd.,Oregon,Ledge 004,10.47,87.65,86.7,62,53.9,0.83,1.03,0.133,0.247,0.081,0.539,63.555,55.71,0.73,1,0.73,22,16.06
Tower Rock Stone,,52302?39,"19829 Lower French
Rd.",Genevieve,Various ledges,0.97,95.84,98,74.9,47,0.74,0.82,0.02,0.231,0.279,0.47,65.67,62.94,0.71,1,0.71,22,15.62
Tuscola Stone Co,,50412?01,1199 E US 36,Tuscola,Mixed Ledges,10.86,92.94,80.6,47.2,33.2,1.04,1.11,0.194,0.334,0.14,0.332,47.85,44.47,0.97,1,0.97,22,21.34
Twin Rivers Stone? Godfrey,,51192?01,9434 Godfrey Road,Godfrey,Various,5.09,88.94,78.3,47.6,31.3,1.12,1.17,0.217,0.307,0.163,0.313,46.675,41.51,0.99,1,0.99,22,21.78
Twin Rivers Stone?Kane,,50612?02,74 West Kane Road,Kane,Various,26.47,72.05,67.5,34.3,22.7,1.75,1.73,0.325,0.332,0.116,0.227,36.765,26.49,1.26,1,1.26,22,27.72
"US Aggregates ? The
Andersons Inc.",,52102?37,101 Agrico Lane,Seymour,Ledges 1 and 2,12.24,106.45,99.9,98.9,96.5,0.44,0.64,0.001,0.01,0.024,0.965,97.905,104.22,0.47,1,0.47,22,10.34
"V.H. Callender ?
Perry/Junction Quarry",,51492?42,37742 412 Street,Chambersburg,Ledge 1?4,1.51,82.88,91.1,57.5,37.9,1.02,1.1,0.089,0.336,0.196,0.379,54.865,45.47,0.84,1,0.84,22,18.48
"V.H. Callender ? 3 miles
southwest of Glasgow
(Thomas/Glasgow Quarry)",,51712?01,24 Hillview Road,Winchester,"0.0,?26.2m
Ledge 1",1.76,96.73,83.4,48.8,33.8,0.98,1.04,0.166,0.346,0.15,0.338,49.05,47.45,0.94,1,0.94,22,20.68
"V.H. Callender ? New Hartford
Quarry",,51492?01,"31099 Dutch Creek
Road",Rockport,Ledge 1,1.68,94.24,84.9,53.6,36.8,0.94,1.02,0.151,0.313,0.168,0.368,52.215,49.21,0.89,1,0.89,22,19.58
"V.H. Callender ? Valley City
Quarry",,51492?02,310810 Quarry Road,Grigsville,Ledge 3,2.42,94.44,82.9,51.4,35.1,0.97,1.05,0.171,0.315,0.163,0.351,50.405,47.6,0.92,1,0.92,22,20.24
"VCNA Prairie Materials ? Yard
88",,51052?09,15887 E. 1200N. Rd.,Pontiac,6.7 M Face,1.31,83.34,95.1,46.1,28.5,1.17,1.18,0.049,0.49,0.176,0.285,47.345,39.46,0.98,1,0.98,22,21.56
Valley View McDowell Quarry,,51052?19,"18380 E. 11000 North
Rd.",Fairbury,"4.0 M Face
MILLED LIME",1.02,92.48,99.7,71.9,46.2,0.78,0.86,0.003,0.278,0.257,0.462,64.625,59.77,0.72,1,0.72,22,15.84
Valley View McDowell Quarry,,51052?19,"18380 E. 11000 North
Rd.",Fairbury,"4.0 M Face
BLENDED LIME",1.14,93.48,94.8,55,35.2,0.93,0.98,0.052,0.398,0.198,0.352,53.32,49.84,0.87,1,0.87,22,19.14
"Vulcan Lehigh ? Across the
street from Scale house by
large pile",,50912?02,1277 S. 7000 Road,Kankakee,"Ledge 1 Course
Pile 0.0?39m",8.98,93.48,73.9,40.8,28.9,1.16,1.21,0.261,0.331,0.119,0.289,42.775,39.99,1.08,1,1.08,22,23.76
"Vulcan Lehigh ? East of scale
house, east of tracks near
barn",,50912?02,1277 S. 7000 Road,Kankakee,"Ledge 1 Fine Pile
0.0?39m",5.47,90.9,76.6,40.1,26.4,1.22,1.24,0.234,0.365,0.137,0.264,41.72,37.92,1.11,1,1.11,22,24.42
Vulcan Materials,,51972?19,595 W Laraway Rd,Laraway,All Ledges,10.74,91.43,83.7,44.1,27.2,1.14,1.15,0.163,0.396,0.169,0.272,44.385,40.58,1.04,1,1.04,22,22.88
"Vulcan Materials ?
Bolingbrook",,51972?10,351 Royce Rd,Bolingbrook,"All Ledges
(013FA05)",11.59,95.59,80,45.8,30,1.06,1.1,0.2,0.342,0.158,0.3,45.74,43.72,1.01,1,1.01,22,22.22
Vulcan Materials ? Bartlett,,50312?90,2000 Vulcan BLVD,Bartlett,Level 1,12.38,103.1,72.4,38.4,24.9,1.13,1.13,0.276,0.34,0.135,0.249,39.83,41.06,1.16,1,1.16,22,25.52
Vulcan Materials ? Chip Plant,,50312?78,5500 Joliet Rd,McCook,"Level 3 Chip
Plant",11.54,94.81,68.4,33.1,21.5,1.36,1.33,0.316,0.353,0.116,0.215,35.94,34.07,1.29,1,1.29,22,28.38
"Vulcan Materials ? McCook
Main Plant",,50312?78,550 Joliet Rd,McCook,"Level 3 Main
Plant",11.46,94.26,74.2,34.4,21.8,1.32,1.27,0.258,0.398,0.126,0.218,37.35,35.21,1.24,1,1.24,22,27.28
Vulcan Materials ? Sycamore,,50372?01,12502 Lloyd Rd,Sycamore,Various Ledges,12.6,104.55,77.9,43.4,28.5,1.01,1.04,0.221,0.345,0.149,0.285,43.955,45.95,1.05,1,1.05,22,23.1
Wagner Aggregates Fairdale,,51412?92,20855 E IL RT 72,Fairdale,Various,12.75,103.8,93.8,59.4,35.4,0.82,0.86,0.062,0.344,0.24,0.354,54.59,56.66,0.85,1,0.85,22,18.7
"Wendling Quarries Inc ?
Garden Plain Quarry",,51952?64,Garden Plain Road,Garden Plain,"Full Face Various
Ledges",11.75,103.01,79.4,49.2,37.8,0.89,0.99,0.206,0.302,0.114,0.378,50.57,52.09,0.92,1,0.92,22,20.24
Wendling Quarries Shaffton,,52202?06,2911 Hwy 67,Camacnche,Various Ledges,12.48,104.64,69.8,38.5,26.4,1.1,1.13,0.302,0.313,0.121,0.264,40.22,42.09,1.15,1,1.15,22,25.3
Western Aggregates,,50992?05,764 East US Route 52,Utica,Various,4.99,92.11,86.9,56.2,41.4,0.91,1.02,0.131,0.307,0.148,0.414,55.595,51.21,0.83,1,0.83,22,18.26
Whitesville Mill Service,,52103?22,"4537 S Nucor Rd Box
314",Crawfordsville,"Produced from
Steel Slag",1.84,74.71,94.9,63.9,35,1.11,1.15,0.051,0.31,0.289,0.35,55.905,41.77,0.83,1,0.83,22,18.26
William Charles at Irene,,50072?01,4545 Irene Rd,Belvidere,"Ledge 004 (1.8?
26.5)",12.91,102.2,93,58.6,40.6,0.80,0.88,0.07,0.344,0.18,0.406,56.83,58.08,0.82,1,0.82,22,18.04
